days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
99,2026-05-03,1683.84,2525.76,2.3087,1,51,27,0.0200,698.86,743.48,1.0639,1,25,10,0.0417,417.04,358.96,0.9755,17,209,137,0.0842,2,0,0
98,2026-05-04,1683.84,2525.76,2.1754,1,51,27,0.0200,698.86,708.64,1.0140,1,25,10,0.0417,417.04,392.24,0.9405,17,209,137,0.0842,0,0,0
97,2026-05-05,1683.84,2525.76,2.0499,1,51,27,0.0200,698.86,675.50,0.9666,1,25,10,0.0417,417.04,378.24,0.9603,18,208,136,0.0891,0,0,1
96,2026-05-06,1683.84,2525.76,1.9317,1,51,27,0.0200,698.86,643.98,0.9215,1,25,10,0.0417,417.04,386.24,0.9261,18,208,135,0.0891,0,0,0
95,2026-05-07,1683.84,2525.76,1.8203,1,51,27,0.0200,698.86,613.99,0.8786,1,25,10,0.0417,417.04,372.55,0.8933,18,208,135,0.0891,0,0,0
94,2026-05-08,1683.84,2525.76,1.7155,1,51,27,0.0200,698.86,585.47,0.8377,1,25,10,0.0417,417.04,359.40,0.9575,20,206,134,0.0990,2,0,0
93,2026-05-09,1683.84,2525.76,1.6168,1,51,27,0.0200,698.86,558.33,0.7989,1,25,10,0.0417,417.04,385.30,0.9239,20,206,133,0.0990,0,0,0
92,2026-05-10,1711.61,2567.42,1.5238,1,51,27,0.0200,698.86,532.52,0.7620,1,25,10,0.0417,417.04,371.81,0.9807,22,204,133,0.1089,1,0,1
91,2026-05-11,1747.23,2509.38,2.8724,2,50,27,0.0400,698.86,507.97,0.7269,1,25,10,0.0417,417.04,394.73,0.9895,23,203,132,0.1139,1,0,1
90,2026-05-12,1782.89,2674.33,2.7075,2,50,27,0.0400,698.86,484.62,0.6934,1,25,10,0.0417,417.04,398.36,0.9967,24,202,131,0.1188,1,0,0
89,2026-05-13,1818.54,2727.81,3.8282,3,49,27,0.0600,698.86,462.40,0.6617,1,25,10,0.0417,417.04,401.32,0.9623,24,202,130,0.1188,0,0,1
88,2026-05-14,1854.17,2781.25,3.6087,3,49,27,0.0600,698.86,441.27,0.6314,1,25,10,0.0417,417.04,387.53,1.0067,26,200,130,0.1287,1,0,1
87,2026-05-15,1889.73,2834.60,3.4021,3,49,27,0.0600,698.86,421.17,1.2053,2,24,10,0.0833,417.04,405.46,0.9722,26,200,129,0.1287,1,0,0
86,2026-05-16,1925.22,2887.82,3.2074,3,49,27,0.0600,698.86,804.10,1.1506,2,24,10,0.0833,417.04,391.67,0.9392,26,200,128,0.1287,0,0,0
85,2026-05-17,1960.58,2940.88,3.0241,3,49,27,0.0600,698.86,767.73,1.0985,2,24,10,0.0833,417.04,378.42,0.9423,27,199,127,0.1337,1,0,0
84,2026-05-18,1995.81,2993.72,2.8515,3,49,27,0.0600,698.86,733.12,1.0490,2,24,10,0.0833,417.04,379.75,0.9780,29,197,126,0.1436,2,0,0
83,2026-05-19,2030.87,3046.31,2.6890,3,49,27,0.0600,698.86,700.21,1.0019,2,24,10,0.0833,417.04,394.23,0.9453,29,197,125,0.1436,0,0,0
82,2026-05-20,2065.74,3098.61,2.5359,3,49,27,0.0600,698.86,668.90,0.9571,2,24,10,0.0833,417.04,381.12,0.9769,31,195,124,0.1535,2,0,0
81,2026-05-21,2100.39,3150.58,2.3917,3,49,27,0.0600,698.86,639.12,0.9145,2,24,10,0.0833,417.04,393.94,0.9446,31,195,123,0.1535,0,0,0
80,2026-05-22,2134.79,3202.18,3.0079,4,48,27,0.0800,698.86,610.79,0.8740,2,24,10,0.0833,417.04,381.01,0.9431,32,194,122,0.1584,1,0,1
79,2026-05-23,2168.91,3253.37,2.8374,4,48,27,0.0800,698.86,583.84,0.8354,2,24,10,0.0833,417.04,380.46,0.9123,32,194,121,0.1584,0,0,0
78,2026-05-24,2202.75,3304.13,2.6768,4,48,27,0.0800,698.86,558.21,0.7987,2,24,10,0.0833,417.04,368.14,0.9655,35,191,120,0.1733,3,0,0
77,2026-05-25,2236.27,3354.40,2.5256,4,48,27,0.0800,698.86,533.82,0.7638,2,24,10,0.0833,417.04,389.70,0.9878,37,189,119,0.1832,2,0,0
76,2026-05-26,2269.45,3404.17,2.3831,4,48,27,0.0800,698.86,510.63,0.7307,2,24,9,0.0833,417.04,398.81,1.0080,39,187,118,0.1931,2,0,0
75,2026-05-27,2302.27,3453.40,2.2490,4,48,26,0.0800,698.86,488.56,0.6991,2,24,9,0.0833,417.04,407.04,0.9760,39,187,117,0.1931,0,0,0
74,2026-05-28,2334.70,3502.06,2.1227,4,48,26,0.0800,698.86,467.58,0.6691,2,24,9,0.0833,417.04,394.23,1.0665,44,182,116,0.2178,5,0,0
73,2026-05-29,2366.74,3550.11,2.0037,4,48,26,0.0800,698.86,447.61,1.2810,4,22,9,0.1667,417.04,430.90,1.0332,44,182,114,0.2178,2,0,0
72,2026-05-30,2398.37,3597.55,1.8917,4,48,26,0.0800,698.86,857.25,1.2266,4,22,9,0.1667,417.04,417.56,1.0240,45,181,113,0.2228,0,0,1
71,2026-05-31,2429.55,3644.33,1.7862,4,48,26,0.0800,698.86,821.12,1.1749,4,22,9,0.1667,417.04,413.95,0.9926,45,181,112,0.2228,0,0,0
70,2026-06-01,2460.29,3690.44,1.6868,4,48,26,0.0800,698.86,786.75,1.1258,4,22,9,0.1667,417.04,401.36,0.9624,45,181,111,0.2228,0,0,0
69,2026-06-02,2490.57,3735.85,1.5933,4,48,26,0.0800,698.86,754.06,1.0790,4,22,9,0.1667,417.04,389.27,0.9956,48,178,109,0.2376,3,0,0
68,2026-06-03,2520.37,3780.55,1.5051,4,48,26,0.0800,698.86,722.97,1.0345,4,22,9,0.1667,417.04,402.83,0.9659,48,178,108,0.2376,0,0,0
67,2026-06-04,2549.68,3626.02,1.4221,4,48,26,0.0800,698.86,693.39,0.9922,4,22,9,0.1667,417.04,390.92,0.9373,48,178,106,0.2376,0,0,0
66,2026-06-05,2578.49,3465.46,1.3440,4,48,26,0.0800,698.86,665.25,0.9519,4,22,9,0.1667,417.04,379.47,0.9289,49,177,105,0.2426,0,0,1
65,2026-06-06,2606.79,3311.61,1.2704,4,48,26,0.0800,698.86,638.49,0.9136,4,22,9,0.1667,417.04,376.16,0.9756,53,173,104,0.2624,4,0,0
64,2026-06-07,2634.57,3164.27,1.2011,4,48,25,0.0800,698.86,613.03,1.0965,5,21,8,0.2083,417.04,395.20,0.9655,54,172,102,0.2673,2,0,0
63,2026-06-08,2661.83,3023.23,1.1358,4,48,25,0.0800,698.86,736.01,1.0532,5,21,8,0.2083,417.04,391.24,0.9555,55,171,101,0.2723,1,0,0
62,2026-06-09,2688.55,2888.28,1.0743,4,48,25,0.0800,698.86,707.22,1.0120,5,21,8,0.2083,417.04,387.31,0.9456,56,170,99,0.2772,1,0,0
61,2026-06-10,2714.74,2759.22,1.0164,4,48,25,0.0800,698.86,679.83,0.9728,5,21,8,0.2083,417.04,383.43,0.9358,57,169,98,0.2822,1,0,0
60,2026-06-11,2740.39,2635.85,0.9619,4,48,25,0.0800,698.86,653.77,0.9355,5,21,8,0.2083,417.04,379.58,0.9581,60,166,96,0.2970,3,0,0
59,2026-06-12,2765.49,2517.97,0.9105,4,48,25,0.0800,698.86,628.99,1.0800,6,20,8,0.2500,417.04,388.75,0.9477,61,165,94,0.3020,2,0,0
58,2026-06-13,2790.04,2405.39,0.8621,4,48,24,0.0800,698.86,726.50,1.0395,6,20,8,0.2500,417.04,384.67,0.9375,62,164,93,0.3069,1,0,0
57,2026-06-14,2814.04,2297.91,0.8166,4,48,24,0.0800,698.86,699.59,1.0010,6,20,8,0.2500,417.04,380.67,0.9275,63,163,91,0.3119,1,0,0
56,2026-06-15,2837.50,2195.35,0.7737,4,48,24,0.0800,698.86,673.99,0.9644,6,20,8,0.2500,417.04,376.74,0.9464,66,160,90,0.3267,3,0,0
